modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
SVM_RBF,0.9775693089856479,0.004311788453391418,0.9853120082073799,0.004967457970813461,0.9845161290322579,0.004963970080431302,0.9848973756132002,0.0029028237051069734,0.997568794712133,0.0008528838503768946
SVM_Linear,0.9706685327837838,0.005920565286973414,0.9811417151780404,0.0022739412284832733,0.9793548387096773,0.008902290740986002,0.9802212365610915,0.004089300654015926,0.9956554975452512,0.0015072416117947716
SVM_Polynomial,0.9785284491023903,0.0045571994579463445,0.9878326450429183,0.0032506561148721107,0.9832258064516128,0.006528573233895974,0.9855065389171178,0.0031180538438270807,0.9978652653509046,0.0008323877651415534
Random_Forest,0.7542174981540869,0.002709500522764001,0.7514113862275906,0.002037060448537603,1.0,0.0,0.8580622902603545,0.0013289747526964227,0.9743395840082474,0.003891644923066674
KNN,0.9606985816775218,0.004149540611721589,0.985709578246593,0.0015170276746262574,0.9610322580645162,0.00555887980091301,0.9732055459801815,0.002898378264664065,0.9896157794789096,0.0016549956860289741
Logistic_Regression,0.9695181891317045,0.004931172309626304,0.9828799374125918,0.0027258368924336423,0.976,0.009290322580645152,0.9793916762351937,0.0034673532904587463,0.9954069191158966,0.001700211550252879
